"framework","runNumber","caseNumber","factor","factorValue"
"nomad","4","user_20","errorPct",23.205715
"nomad","5","user_20","errorPct",0.0
"nomad","6","user_20","errorPct",0.0
"swarm","1","user_20","errorPct",0.0
"swarm","2","user_20","errorPct",0.0
"swarm","3","user_20","errorPct",0.0
"swarm","4","user_20","errorPct",0.0
"swarm","5","user_20","errorPct",0.0
"swarm","6","user_20","errorPct",0.0
"k8s","1","user_50","resTime",78.0
"k8s","2","user_50","resTime",77.0
"k8s","3","user_50","resTime",77.0
"k8s","4","user_50","resTime",79.0
"k8s","5","user_50","resTime",79.0
"k8s","6","user_50","resTime",78.0
"nomad","1","user_50","resTime",85
"nomad","2","user_50","resTime",55.0
"nomad","3","user_50","resTime",90
"nomad","4","user_50","resTime",54
"nomad","5","user_50","resTime",62.0
"nomad","6","user_50","resTime",99.0
"swarm","1","user_50","resTime",61.0
"swarm","2","user_50","resTime",61.0
"swarm","3","user_50","resTime",62.0
"swarm","4","user_50","resTime",62.0
"swarm","5","user_50","resTime",61.0
"swarm","6","user_50","resTime",61.0
"k8s","1","user_50","throughput",609.4057423432521
"k8s","2","user_50","throughput",597.5449439161388
"k8s","3","user_50","throughput",625.312656328164
"k8s","4","user_50","throughput",614.5526057030482
"k8s","5","user_50","throughput",602.0573158564696
"k8s","6","user_50","throughput",617.011899515205
"nomad","1","user_50","throughput",535.7859531772575
"nomad","2","user_50","throughput",586.1085323656005
"nomad","3","user_50","throughput",522.7984419155274
"nomad","4","user_50","throughput",591.0474667936529
"nomad","5","user_50","throughput",585.0885991307255
"nomad","6","user_50","throughput",502.8663381273258
"swarm","1","user_50","throughput",788.0043227665707
"swarm","2","user_50","throughput",793.3269867174396
"swarm","3","user_50","throughput",791.729816544891
"swarm","4","user_50","throughput",786.039930828486
"swarm","5","user_50","throughput",794.3352548681404
"swarm","6","user_50","throughput",792.016473942658
"k8s","1","user_50","errorPct",0.0
"k8s","2","user_50","errorPct",0.0
"k8s","3","user_50","errorPct",0.0
"k8s","4","user_50","errorPct",0.0
"k8s","5","user_50","errorPct",0.0
"k8s","6","user_50","errorPct",0.0
"nomad","1","user_50","errorPct",1.5914285
"nomad","2","user_50","errorPct",0.7885714
"nomad","3","user_50","errorPct",2.2142856
"nomad","4","user_50","errorPct",0.7057143
"nomad","5","user_50","errorPct",0.0
"nomad","6","user_50","errorPct",0.0
"swarm","1","user_50","errorPct",0.0
"swarm","2","user_50","errorPct",0.0
"swarm","3","user_50","errorPct",0.0
"swarm","4","user_50","errorPct",0.0
"swarm","5","user_50","errorPct",0.0
"swarm","6","user_50","errorPct",0.0
